first_name,last_name,emp_no,title,from_date,to_date,birth_date
Reuven,Garigliano,10070,Technique Leader,1985-10-14,9999-01-01,1955-08-20
Armond,Peir,10129,Technique Leader,1996-01-16,9999-01-01,1955-12-02
Nishit,Casperson,10130,Senior Engineer,1988-06-21,9999-01-01,1955-04-27
Perry,Shimshoni,10138,Engineer,1992-03-03,2001-03-03,1955-04-24
Perry,Shimshoni,10138,Senior Engineer,2001-03-03,9999-01-01,1955-04-24
Zhenbing,Perng,10150,Engineer,1986-11-16,1995-11-16,1955-01-29
Zhenbing,Perng,10150,Senior Engineer,1995-11-16,9999-01-01,1955-01-29
Heekeun,Majewski,10153,Assistant Engineer,2000-01-08,9999-01-01,1955-12-15
Basil,Ishibashi,10258,Assistant Engineer,1985-05-17,1991-05-17,1955-12-12
Basil,Ishibashi,10258,Engineer,1991-05-17,1997-05-16,1955-12-12
Basil,Ishibashi,10258,Senior Engineer,1997-05-16,9999-01-01,1955-12-12
Sibyl,Rahier,10396,Senior Engineer,1986-01-11,9999-01-01,1955-08-21
Prodip,Rosti,10404,Engineer,1988-08-28,1996-08-28,1955-04-27
Prodip,Rosti,10404,Senior Engineer,1996-08-28,9999-01-01,1955-04-27
Arunas,Luce,10426,Technique Leader,1985-07-06,9999-01-01,1955-12-28
Udi,Gihr,10512,Senior Staff,1998-11-28,9999-01-01,1955-11-16
Udi,Gihr,10512,Staff,1989-11-28,1998-11-28,1955-11-16
Marke,Cesareni,10522,Senior Staff,1995-12-12,9999-01-01,1955-07-24
Marke,Cesareni,10522,Staff,1986-12-12,1995-12-12,1955-07-24
Jianhao,Thisen,10564,Engineer,1995-11-23,2000-11-22,1955-04-14
Jianhao,Thisen,10564,Senior Engineer,2000-11-22,9999-01-01,1955-04-14
Inderjeet,Chaudhuri,10631,Engineer,1994-10-18,9999-01-01,1955-05-17
Hirochika,Narlikar,10642,Engineer,1998-10-05,9999-01-01,1955-12-19
Adib,Rullman,10718,Engineer,1988-07-21,1997-07-21,1955-12-19
Adib,Rullman,10718,Senior Engineer,1997-07-21,9999-01-01,1955-12-19
King,Brendel,10749,Engineer,1985-09-26,1990-09-26,1955-08-21
King,Brendel,10749,Senior Engineer,1990-09-26,9999-01-01,1955-08-21
Ishfaq,Candan,10768,Engineer,1985-07-04,1990-07-04,1955-06-24
Ishfaq,Candan,10768,Senior Engineer,1990-07-04,9999-01-01,1955-06-24
Chenxi,Leijenhorst,10808,Senior Engineer,1987-03-07,9999-01-01,1955-09-11
Mara,Bahi,10921,Engineer,1986-07-27,1995-07-27,1955-07-20
Mara,Bahi,10921,Senior Engineer,1995-07-27,9999-01-01,1955-07-20
Berna,Skafidas,10943,Engineer,1993-05-22,1999-05-22,1955-11-19
Berna,Skafidas,10943,Senior Engineer,1999-05-22,9999-01-01,1955-11-19
Eckart,Braunschweig,10965,Senior Staff,1986-07-29,9999-01-01,1955-07-10
Chinya,Deyuan,10988,Senior Engineer,1985-06-19,9999-01-01,1955-06-24
Remzi,Cappello,11027,Assistant Engineer,1986-05-07,1991-05-07,1955-12-13
Remzi,Cappello,11027,Engineer,1991-05-07,1996-05-06,1955-12-13
Remzi,Cappello,11027,Senior Engineer,1996-05-06,9999-01-01,1955-12-13
Jinya,Beidas,11038,Senior Staff,1992-07-15,9999-01-01,1955-10-13
Jinya,Beidas,11038,Staff,1985-07-15,1992-07-15,1955-10-13
Gou,Breugel,11042,Engineer,1993-06-21,2000-06-21,1955-07-13
Gou,Breugel,11042,Senior Engineer,2000-06-21,9999-01-01,1955-07-13
Berna,Cochrane,11100,Senior Staff,1993-10-13,9999-01-01,1955-10-14
Berna,Cochrane,11100,Staff,1986-10-13,1993-10-13,1955-10-14
Aris,Iwayama,11106,Assistant Engineer,1985-08-31,1991-08-31,1955-02-23
Aris,Iwayama,11106,Engineer,1991-08-31,1997-08-30,1955-02-23
Aris,Iwayama,11106,Senior Engineer,1997-08-30,9999-01-01,1955-02-23
Nalini,Azulay,11133,Technique Leader,1994-03-06,9999-01-01,1955-12-13
Hugh,Luca,11137,Engineer,1995-03-16,9999-01-01,1955-03-17
Bogdan,Homond,11139,Senior Staff,1995-05-11,9999-01-01,1955-10-13
Bogdan,Homond,11139,Staff,1990-05-11,1995-05-11,1955-10-13
Tadahiro,Fordan,11197,Senior Staff,1989-09-12,9999-01-01,1955-05-11
Diederik,Covnot,11204,Technique Leader,1985-09-18,9999-01-01,1955-12-15
Saeed,Gips,11207,Engineer,1999-01-31,9999-01-01,1955-08-14
Hidefumi,Crelier,11232,Senior Staff,2000-08-01,9999-01-01,1955-09-03
Hidefumi,Crelier,11232,Staff,1994-08-02,2000-08-01,1955-09-03
Kiam,Condotta,11240,Assistant Engineer,1989-01-06,1997-01-06,1955-08-12
Kiam,Condotta,11240,Engineer,1997-01-06,9999-01-01,1955-08-12
Bezalel,Chinal,11251,Senior Staff,1993-06-15,9999-01-01,1955-10-16
Bezalel,Chinal,11251,Staff,1986-06-15,1993-06-15,1955-10-16
Hitomi,Eppinger,11275,Engineer,1989-04-25,1998-04-25,1955-10-18
Hitomi,Eppinger,11275,Senior Engineer,1998-04-25,9999-01-01,1955-10-18
Pranas,Marrakchi,11319,Assistant Engineer,1998-11-01,9999-01-01,1955-06-05
Kotesh,Asser,11449,Engineer,1995-02-03,2000-02-03,1955-03-30
Kotesh,Asser,11449,Senior Engineer,2000-02-03,9999-01-01,1955-03-30
Rance,Picel,11506,Staff,1996-04-08,9999-01-01,1955-06-16
Ulf,Basawa,11515,Staff,1998-09-21,9999-01-01,1955-03-03
Xiadong,Standera,11524,Senior Engineer,1996-07-05,9999-01-01,1955-10-26
Zito,Dolinsky,11528,Technique Leader,1987-06-15,9999-01-01,1955-04-26
DAIDA,Pehl,11537,Senior Staff,1986-07-06,9999-01-01,1955-06-29
Subhash,Taubenfeld,11554,Staff,1998-07-15,9999-01-01,1955-05-28
Kotesh,Perfilyeva,11555,Senior Staff,1991-10-14,9999-01-01,1955-08-05
Kotesh,Perfilyeva,11555,Staff,1986-10-14,1991-10-14,1955-08-05
Martins,Fujisaki,11568,Engineer,1992-03-13,2000-03-13,1955-12-01
Martins,Fujisaki,11568,Senior Engineer,2000-03-13,9999-01-01,1955-12-01
Shem,Isaak,11615,Senior Staff,2000-08-28,9999-01-01,1955-03-05
Shem,Isaak,11615,Staff,1991-08-29,2000-08-28,1955-03-05
Adil,Gammage,11624,Engineer,1989-07-15,1996-07-15,1955-05-16
Adil,Gammage,11624,Senior Engineer,1996-07-15,9999-01-01,1955-05-16
Gill,Stenning,11660,Senior Staff,1994-11-22,9999-01-01,1955-07-19
Gill,Stenning,11660,Staff,1986-11-22,1994-11-22,1955-07-19
Sanjoy,Ranft,11732,Senior Engineer,1996-12-22,9999-01-01,1955-06-14
Amalendu,Picci,11735,Senior Staff,1997-07-14,9999-01-01,1955-02-19
Amalendu,Picci,11735,Staff,1988-07-14,1997-07-14,1955-02-19
Niranjan,Markovitch,11817,Senior Staff,1993-04-12,9999-01-01,1955-05-25
Niranjan,Markovitch,11817,Staff,1986-04-12,1993-04-12,1955-05-25
Divier,Farrag,11857,Senior Staff,1986-08-27,9999-01-01,1955-12-03
Hideo,Boguraev,11906,Engineer,1999-02-07,9999-01-01,1955-04-26
Marit,Dalphin,11993,Senior Staff,1996-10-22,9999-01-01,1955-10-29
Ger,Shokrollahi,12070,Technique Leader,1988-11-14,9999-01-01,1955-07-23
Karlis,Siprelle,12076,Senior Staff,1985-03-25,9999-01-01,1955-03-16
Shem,Perly,12159,Senior Engineer,1985-07-17,9999-01-01,1955-08-15
Sushant,Rossi,12205,Senior Engineer,1987-11-11,9999-01-01,1955-08-24
Vincent,Melter,12221,Engineer,1985-09-16,1991-09-16,1955-07-14
Vincent,Melter,12221,Senior Engineer,1991-09-16,9999-01-01,1955-07-14
Guadalupe,Reghbati,12256,Senior Staff,1992-08-26,9999-01-01,1955-02-15
Guadalupe,Reghbati,12256,Staff,1985-08-26,1992-08-26,1955-02-15
Behnaam,Grandbois,12272,Senior Staff,1992-12-07,9999-01-01,1955-10-16
Behnaam,Grandbois,12272,Staff,1987-12-08,1992-12-07,1955-10-16
Susanne,Lubachevsky,12311,Senior Engineer,1985-10-22,9999-01-01,1955-02-11
Rasiah,Luga,12341,Engineer,1985-05-25,1990-05-25,1955-02-13
Rasiah,Luga,12341,Senior Engineer,1990-05-25,9999-01-01,1955-02-13
Sanjit,Felder,12395,Senior Staff,1995-06-05,9999-01-01,1955-01-08
Mihalis,Luga,12399,Senior Staff,1996-12-06,9999-01-01,1955-11-15
Mihalis,Luga,12399,Staff,1987-12-07,1996-12-06,1955-11-15
Hugh,Gadepally,12413,Engineer,1994-03-04,1999-03-04,1955-06-17
Hugh,Gadepally,12413,Senior Engineer,1999-03-04,9999-01-01,1955-06-17
